Gameno,Group,TeamId,Continent,Opponent,Score,Win,Ranking202306,Formation,Position,Best,PassesAttempted,PassesCompleted,PassesCompletedPct,SwitchesOfPlay,CrossesAttempted,CrossesCompleted,LineBreaksAttempted,LineBreaksCompleted,LineBreaksCompletedPct,Ballprogressins,Takeone,StepIns,AttemptsatGoal,Goals,TotalOffers,InFront,InBetween,OutToIn,IntoOut,InBehind,NoMovement,OffersReceived,TacklesMade,TacklesWon,Blocks,Interceptions,PressingDirect,PressingIndirect,DuelsWonAerial,DuelsWonPhysical,PossessionContestsWon,Clearances,LooseBallReceptions,PushingOn,PushingOnIntoPressing,PossessionRegains,PossessionInterrupted,TotalDistance_m,WalkingDistance,JoggingDistance,RunningDistance,VeryHighSpeedDistance,MaxSprintDistance,HighSpeedRunCount,TopSpeedSprintCount,TopSpeed,TeamScore,Defenders,Midfielders,Forwards,TacklesWonPct,CrossesCompletedPct
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,MF,STARTING,22,15,68%,0,1,0,5,3,60%,0,0,0,0,0,27,10,7,0,2,5,3,6,6,3,0,2,8,13,1,0,2,3,3,20,5,6,2,8449.8,2852.7,3096,1980.6,425,95.5,159,30,27,0,4,4,2,50,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,STARTING,67,55,82%,1,3,0,19,11,57%,2,1,1,2,0,46,21,1,0,0,4,20,12,7,2,7,3,10,12,3,1,4,4,6,28,13,10,9,10598.6,4190.7,3030.1,2508.7,598.8,270.3,193,49,28.3,0,4,4,2,28.57142857,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,MF,STARTING,37,26,70%,0,2,2,9,4,44%,2,1,1,2,0,90,54,27,1,0,3,5,24,6,2,6,0,13,24,1,0,2,2,8,34,17,8,3,11968.1,3602.4,4845.9,2836.4,557.7,125.7,224,41,26.8,0,4,4,2,33.33333333,100
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,STARTING,68,49,72%,0,2,1,33,20,60%,1,0,1,0,0,58,20,1,0,0,4,33,27,2,1,2,1,6,17,1,0,1,6,15,30,14,6,5,10531,3284.6,4098.6,2327.3,520.2,299.1,199,40,27.5,0,4,4,2,50,50
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,MF,STARTING,20,12,60%,0,0,0,7,2,28%,1,1,0,2,0,62,24,15,9,5,2,7,14,4,0,1,0,5,12,0,0,1,0,6,17,6,1,2,7801.5,2109.5,3052.7,2169.6,419.7,49.9,165,30,26.7,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,FW,STARTING,9,6,67%,0,2,0,1,0,0%,0,0,0,0,0,16,4,2,1,1,8,0,2,0,0,1,0,1,15,0,0,1,2,4,13,7,0,2,5265.5,1933,1909.8,1151,251.7,20.5,99,19,27,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,STARTING,51,45,88%,1,0,0,10,7,70%,2,0,2,1,0,18,1,2,0,0,0,15,9,5,0,4,1,8,7,2,0,3,5,6,24,5,7,5,6720.3,2090,3135,1170.7,301.7,22.8,100,20,25.5,0,4,4,2,0,0
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,DF,STARTING,86,74,86%,0,2,2,19,13,68%,3,1,2,2,0,26,6,1,0,0,1,18,14,3,1,3,1,4,5,1,0,1,9,20,12,1,9,6,10322.4,4160.9,3046.1,2343.2,480,292.1,188,44,28.5,0,4,4,2,33.33333333,100
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,FW,STARTING,20,16,80%,0,4,1,1,1,100%,2,1,1,2,0,63,8,10,1,2,20,22,21,1,0,0,0,7,49,3,0,3,0,2,31,24,2,0,11381.4,3478.1,4089.3,3093.5,541.8,178.7,236,44,27,0,4,4,2,0,25
33,A,NEWZELAND,OFC,SWITZERLAND,0?€0,DRAW,26,4_4_2,FW,STARTING,12,6,50%,1,0,0,1,0,0%,0,0,0,0,0,50,4,24,1,4,17,0,7,0,0,0,0,1,47,1,0,1,1,1,35,20,0,0,9763.9,3142,3710.3,1960.6,661,291,183,55,29.4,0,4,4,2,0,0
